method k n time
reservoir_sample 61000 100000 1571
reservoir_sample_std 61000 100000 788
reservoir_sample_std_iterator 61000 100000 775
reservoir_sample 62000 100000 1546
reservoir_sample_std 62000 100000 783
reservoir_sample_std_iterator 62000 100000 770
reservoir_sample 63000 100000 1518
reservoir_sample_std 63000 100000 776
reservoir_sample_std_iterator 63000 100000 790
reservoir_sample 64000 100000 1494
reservoir_sample_std 64000 100000 771
reservoir_sample_std_iterator 64000 100000 759
reservoir_sample 65000 100000 1468
reservoir_sample_std 65000 100000 764
reservoir_sample_std_iterator 65000 100000 752
reservoir_sample 66000 100000 1448
reservoir_sample_std 66000 100000 757
reservoir_sample_std_iterator 66000 100000 745
reservoir_sample 67000 100000 1407
reservoir_sample_std 67000 100000 750
reservoir_sample_std_iterator 67000 100000 739
reservoir_sample 68000 100000 1378
reservoir_sample_std 68000 100000 742
reservoir_sample_std_iterator 68000 100000 732
reservoir_sample 69000 100000 1345
reservoir_sample_std 69000 100000 735
reservoir_sample_std_iterator 69000 100000 725
reservoir_sample 70000 100000 1317
reservoir_sample_std 70000 100000 728
reservoir_sample_std_iterator 70000 100000 718
reservoir_sample 71000 100000 1281
reservoir_sample_std 71000 100000 720
reservoir_sample_std_iterator 71000 100000 711
reservoir_sample 72000 100000 1248
reservoir_sample_std 72000 100000 713
reservoir_sample_std_iterator 72000 100000 704
reservoir_sample 73000 100000 1213
reservoir_sample_std 73000 100000 705
reservoir_sample_std_iterator 73000 100000 698
reservoir_sample 74000 100000 1181
reservoir_sample_std 74000 100000 698
reservoir_sample_std_iterator 74000 100000 690
reservoir_sample 75000 100000 1144
reservoir_sample_std 75000 100000 691
reservoir_sample_std_iterator 75000 100000 683
reservoir_sample 76000 100000 1108
reservoir_sample_std 76000 100000 685
reservoir_sample_std_iterator 76000 100000 679
reservoir_sample 77000 100000 1073
reservoir_sample_std 77000 100000 676
reservoir_sample_std_iterator 77000 100000 669
reservoir_sample 78000 100000 1037
reservoir_sample_std 78000 100000 670
reservoir_sample_std_iterator 78000 100000 662
reservoir_sample 79000 100000 995
reservoir_sample_std 79000 100000 662
reservoir_sample_std_iterator 79000 100000 654
reservoir_sample 80000 100000 956
reservoir_sample_std 80000 100000 655
reservoir_sample_std_iterator 80000 100000 647
reservoir_sample 81000 100000 917
reservoir_sample_std 81000 100000 649
reservoir_sample_std_iterator 81000 100000 641
reservoir_sample 82000 100000 877
reservoir_sample_std 82000 100000 642
reservoir_sample_std_iterator 82000 100000 637
reservoir_sample 83000 100000 836
reservoir_sample_std 83000 100000 635
reservoir_sample_std_iterator 83000 100000 627
reservoir_sample 84000 100000 796
reservoir_sample_std 84000 100000 630
reservoir_sample_std_iterator 84000 100000 620
reservoir_sample 85000 100000 753
reservoir_sample_std 85000 100000 823
reservoir_sample_std_iterator 85000 100000 614
reservoir_sample 86000 100000 711
reservoir_sample_std 86000 100000 817
reservoir_sample_std_iterator 86000 100000 608
reservoir_sample 87000 100000 668
reservoir_sample_std 87000 100000 812
reservoir_sample_std_iterator 87000 100000 601
reservoir_sample 88000 100000 624
reservoir_sample_std 88000 100000 806
reservoir_sample_std_iterator 88000 100000 619
reservoir_sample 89000 100000 582
reservoir_sample_std 89000 100000 802
reservoir_sample_std_iterator 89000 100000 588
reservoir_sample 90000 100000 535
reservoir_sample_std 90000 100000 797
reservoir_sample_std_iterator 90000 100000 582
reservoir_sample 91000 100000 498
reservoir_sample_std 91000 100000 792
reservoir_sample_std_iterator 91000 100000 575
reservoir_sample 92000 100000 443
reservoir_sample_std 92000 100000 786
reservoir_sample_std_iterator 92000 100000 569
reservoir_sample 93000 100000 405
reservoir_sample_std 93000 100000 784
reservoir_sample_std_iterator 93000 100000 567
reservoir_sample 94000 100000 351
reservoir_sample_std 94000 100000 779
reservoir_sample_std_iterator 94000 100000 558
reservoir_sample 95000 100000 301
reservoir_sample_std 95000 100000 773
reservoir_sample_std_iterator 95000 100000 552
reservoir_sample 96000 100000 252
reservoir_sample_std 96000 100000 769
reservoir_sample_std_iterator 96000 100000 549
reservoir_sample 97000 100000 204
reservoir_sample_std 97000 100000 764
reservoir_sample_std_iterator 97000 100000 540
reservoir_sample 98000 100000 154
reservoir_sample_std 98000 100000 766
reservoir_sample_std_iterator 98000 100000 560
reservoir_sample 99000 100000 104
reservoir_sample_std 99000 100000 757
reservoir_sample_std_iterator 99000 100000 530
